id,Predicted
0,.indshmhvHalrWhzbesttwhnHAdbineksylDhimpRizhndinDhkam?hnhstWicHum!.
1,.DhsOvIetskamhmInWylkamhHAvbighnWiTgRoiGtRUtsfrmAfgAnhstAn!piRIhd.
2,.pRyvhtfRIskUlzWrfoRmdbOTinpuRnEbrHudzAnd~inmidhlklAskhm?UnitIz.
3,.gREnzinsybIiskOlhnDhTRethvREnhnfEvrhbhlzspRiGplAntiGkhndiShnzpuSsYblInhndkoRnf?UcrzpRyshzlOrpiRIhd.
4,.Dh?UnytidstEts.hndrtuk.!tUdifendWestrn?uRhphgenstsOvIhthtAkt.
5,.dhbhlkWOtDEdindnWhn!inhjektivsthdI.piRIhd.
6,.bhtimpoRtsikspAndidbyhnIvinlaRjrTRIpYntEtbil?hndalrzkamhkaziGDhtREdpikcrtUWrshnpiRIhd!.
7,.lOdhstkamhDhnhmbrtUprsinilHyfhnkhmp?UtrsoftWeRkhmphnIkamhseznOtsWOtbIhvElhbhlfrhbwtE?iRpiRIhd.
8,.DIInoRmhshmwntshvkaRbhndyaksydinDIAtmhsfiRkazDisHypReSr.
9,.dhbhlkWOt.DeRalothvpIphlindkAnzhsitIWiTpRrdhDeRbAksanDempiRIhd!.
10,.Hwevr.DIimphziShn@hvhnyemAosteRitIpROgRAmHhzolWIzbhn@anhksepthbhlthmistrflhnaRO@.
11,..bhtpRablhmzRimEnfr?uRhpIhnbiznhs.And?uRhpalhtiShnzkhntin?UtiklAmbrfr?uRhpIhnshlUShnz.
12,.tUzdEfeb?uRItenTAnddUlevinpIemIestUnEbIsIz!hkeRhlbrnetspeShl.
13,.miSIO@ezhsenIcyldbhtAttymzHrlyfWEzHrdwn.
14,.hspOksmhnsedmistrnOlznUphziShnWhlbIhnwnshlEtr.
15,.inkantRAstkamhloGgrWhcSoRhtIzrsInezinindhkEtrhvdiklyniGREtskamhezDEprmitfhndmAnijrzthlakinkrhnt?IldzfrhloGgrtympiRIhd.
