id,Predicted
0,.indshmhvHalOWhzbesttlhnHAdbhneksyldRinpRizhntinDhkhmb?hnhstWicHrmt!.
1,.DhsOvIetskamhmInWylkamhHAvbighnWiTgRyiGtRUtsfROmAfgAnhstAn+piRIhd.
2,.pRyvhtfRIsgUlzWrRfoRmdbOTinpuRnEbrHudzAninmidhlklAskhm?UnitIz.
3,.gREnzindsybIiskOlhnDhTRedhvREnhndfEvrhbhlspRiGplAntiGkhndiShnzpuStsYbInhnhkoRnf?UcrzpRysizlOrpiRIhd!.
4,.Dh?UnytidstEtshndrhtuk!tUdifendWestrn?uRhphgenstsOvIhthtAk.
5,.dhbhlkWOt.DEdinhnWhn.inhbjzektivsthdI.piRIhd!.
6,.bhtimpoRtsikspAndidbyEnIvinlaRjrTRIpYntEtbil?hndalrzkamhkaziGmhtREdpicrtUWrshnpiRIhd.
7,.lOdiskamh-DhnhmbrtUprsinilHyfhnkhmp?UtrsoftWeRkhmphnIkamhseznOtsWOntbIhvElhbhlfrhbwtE?iRpiRIhd!.
8,.DIInoRmhshmwntshvkaRbhndyaksydinDIAtmlhsfiRdkazDisHypReSr!.
9,.dhbhlkWOt.DeRrhlothvpIphlinkEmzAsitIWiTpRUmDeRbAksanDem.hpiRIhd!.
10,.Hwevr.DIimphziShn@hvrnynhnmATlosteRitIpROgRAmHhzolWIzbin@anhksevpthbhlthmistrfhnR.
11,.bhtpRablhmzRimEndfr?uRhpIhnbiznis.And?URhpalhtiShzkhntinUdiklAmrfr?uRhpIhnshlUShnz.
12,.tUzdEfeb?URItenzindtUilevhnpIem?estI?onEbIsIz.hkeRhlbrnAtspeShl@.
13,..mhSOl@izhsenIcyldbhtAttymzHrlyktWEsHrdwn.
14,.hspOksmhnsedmistrnOlznUphziShnWhlbRIhnwnslEtr.
15,.inkantRAstkamhloGgrbhtSoRhtIzrsInezinindhkEtrhvdiklyniGREtskamhezDEpRrmitfhndmAnijrzthlakinkrnt!?IldzfrhloGgrtympiRIhd.
16,.bhtbEsEDAtifDEWEhntelshcsynzrevhdhndinDhfig?rzinflEShnWhlbIvinHaRdrdtisebe!.
17,.fhlashfrzhvejhkEShnofhndifrinDeRv?UzanDhnEcrhvdalij!.
18,.EjtIOlbI!Hyfhn.Whn.kamhhvyrzfRUlEtidtUhkkhWyRdimin?hndifiShnsIsindROm.kamhizDhkazhthvEjhntUvhdhlt.tI.HyfhnDhseltlhkImIh.piRIhd.
19,.kantRAktsAtsfoRd.endjIemolsOkspyrinDI?UeshmhsEbhz!.
20,.!Dhpap?hlEShnlyvzbyHrdiGgOtshndSIpoRbytREdiG!.
21,.indIdDIaRtmaRkithRIcshchfIvrpiclesfolvhtshneksprtsWhndrdifitWudhntbikhmOvkItidAnbigitdiklyniG.
22,.DhsyhnshnteknalhjIEjhnsIWhlspendhbwtWhnHhndrdmil?hndalrzansUprkandhkttivitIRIsrc+OvrDhneksfyv?rzAndDhministRIhvejhkEShnHhzitsOnsUprkadhktibitIpROgRAmz.piRIhd.
23,.+Az!RIshnlIHAznyntInEtItUkamh.OnIsikstInynprsenthvREshzWrkhnsidrdlAnslyts.piRIhd!.
24,.HilAndHeRhssr@olsOdiektrzhvmoRghngRenfelhnkhmprt!.
25,.inkAlhfoRn?hkamh!enIWE~piRIhd.
26,.bhtDhlasWudHAvbinmhclaRjrfDhtHAdhn?Uzinhn?UZUhlhkwniGtekhniktUtEkWhn@HhndrdnyntIsiksmil?hndalrzwthv@lOnyfhnlolsizrzpiRIhd.
27,.bitynDhsImzaRmbitrikamhbizhntInbAthlzmoRhvakhtOvfhvhjanDhkrrEnabhlDAnhzshbcstEdpRhfeShnz.piRIhd.
28,.DIofrezibRil?hdifenskhntRyvtbysAnthfEzinvesmhntbAGkrzhvsAlhmhnbRhDrz!hndgOldmhnsaks.piRIhd.
29,.mykRhbyalhjIizDhsthdIhvoRghnizhmzDAtkAnatbIsInbyDhnEkhdy~.
30,.sOWitsolveRIpRitIpiRIhd.
31,.DEbIgAntUbildbOtsWhTDhsEmWhtiRIhlzDE?UzdfrpRtr.
32,.WeDrhmeRighnizEbhltURIgEEnitsejWhldipenlaRjlIanDIhbilhtIizhvmistrnoRmhnAtHizstkt.
33,.Dhkrn?rzhlotmhnhvTRIpYntsevhnbil?hndalrz!WudbIinkRIsbyfyvHhndrdmil?hndalrzhndrhzshplhmenchlbhjitRIkWestolsOsentikaGgRhs?estrdE!.
34,.DhpRamhsthfytinflEShndiznatpRhvydhkRtiRIhndbyWictUhsesDhfedzpRhfoRmhns!.
35,.jORabI!mAvrgOnrvDhAnhfilzmyAnbIdalfhnzdidHizpaRtbyOphndiGin?UstEtIhmDOzlaRjIiWivpRyvhtfhnz.
36,.DhkAmpEnHhzWhnsevRhlkRIEthvhWoRdzsinsDhpRadhktWhzintRhdUstinaktObrnyntInEtIsikspiRIhd.
37,.DEkhnolsOSOHwDhSEphndsyz~hvkAnthnhntsAndiShzHAvcEnjdOvrtym.
38,.SIgatESakHIsez.bhtDhbighSakWhznatanDhjab.
39,.dhbhlkWOtDIinsrtntIlOlHAzinkRIstbysevRhloRdrzhmAGthtUdkamhdhbhlkWOtsedI?UesbAGkrHiRpiRIhd!.
40,.!dhbhlkWOtHwlkhnDhstAtik.bidRIshmitidfyvmhansthkObIkhmpeRdhgensthbidDAtHAzbinRifyndOvrhfyvHyfhnmhnTpiRIhd.kWeschnmaRk.dhbhlkWOt.
41,.DhsOShldemhkRAtikpaRtIzviiktrIinDhstEtilekShninslesbigHyfhnHOlstynshndEWhzWhnhvDhbighstinmenI?rz.piRIhd.
42,.EtAGkrizhSipdizyndtikeRIlaRjval?UmzhvYlrhDrlikWhdtAaAhn@.
43,.pRyvmhntTRIskUlzrfoRmbOTinpuRnEbrHudzAndinmidhlklAskhm?UnhtIz..
44,.WiDhnwRzhvizdefT~oRtinklAzpRhcestrzfilDhstRItshvklimIhtslOmzhndvilhjhnzrz.
45,.jIemEsIvRIshnlIstaRtdhkRUsEEdthprsWEdjIemdIlrsistiRkhsthmrzindhSoRtrtrmlOnzpiRIhd!.
46,.Dhstak.WicizgEndTrdIvoTprsentsOfaRDis?iRklOzditfiftIfoRdolrzinsevhnIfyvsens!inbigboRdtREdiGmnesrId.
47,.DhsydfDIAntishpEtidcaRjizkamhhDrfAktrzkhmbyndthHrt.jIemzfoRTHyfhnkWoRtrhndfulHyfhn?iRRizhlts.piRIhd!.
48,.ifmistrREghnWantsesdIydthbIhlAstiGlykhsIhvisAdministREShnkamhitWhlbInhshseRItistat.biltInanDhshpoRtDht@oRRedIiksispiRIhd.
49,.kWOtiG~tiphlAthkhnbhznhssrshzinzyRDhniztEprRipoRthdDhttRIShpmhntshvWhphnzryvdtDhbEstlAst?iR.
50,.htAGkrizhSip.dizyndthkeRIlaRjval?UmzhvYloRhDrlikWhdkaRgO@.
51,.foRDhfrsttymin?rzDhRiphblikthnzolsOkApcrdbOTHwshzhvhkhn!.
52,.DhmrsEtIzAndbIemdhbhl?UpROgRAmzmaRtDhfrDrspRedhvinseptivsth@otOmEkrzHU?UZUhlIHhvstEthWEfrmRIbEtsindistwnts.
53,.bataktrzbilIvdhkhmphnIHAzhkRethbilhtIpRablOmAftritssiks?hsOSIEShnRhvRItElrjhIsIvpenIkhmphnIWucendidleth.
54,.hmhGDIiSUzinDhdisp?UthWEjizkamhshbkantRAktiG.AndhbrkRUlzpiRIhd.
55,.inDhmhnImaRkitbREtshnvDhtReZrIzlEthsTRImhnThnsiksmhntbilzdiklyndtflytlI!.
56,.nwDhREtiGzhvshmsOlw@Dhtitmhst?Uz@olOphnAdtymnekskWoRtrfrmEk.gudz.piRIhd.
57,.HeizhtfeRtUfrtektDIotOWrkrinditRYtAndDeRfoRREzdDhpRyshvDhn?UkaRfrDhgyhndthpIts!.
58,.dReksOWhplEstsolmhn.AzinvestmhntbEkrtURevkO.kamhWijiztRyGtURIkhnstRhk.detAftrElevrijdvyHyfhn@htpiRIhd!.
59,.DeRIsemkazdfrapthmizhm.
60,.fhlashfrzhvedjhkEShnofhndifrinDeRv?UzanDhnEcrhvnalhj.
61,.itWhzWhnTiGWinAnkrhmenydenhfyddhbhlkWOtkhntRIzWhntisiksdhbhlkWOtbyDeRAkSnhlmEmzfriRonHyfhnkantRhv?UrzpiRIhd..
62,..DhjYntkhmiShn!bEsinjhkagO.izWhnhvDhmOspaRrbhlhndstikudigRUpsinolhHelpcEGbsI.
